City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date Reported
Hamilton,BM,32.3,80.6,78,75,11.41,07/12/2019 - 05:40 PM
Qaanaaq,GL,77.48,46.28,58,100,4.99,07/12/2019 - 05:40 PM
Arraial do Cabo,BR,-22.97,69.8,83,0,4.7,07/12/2019 - 05:40 PM
Camacha,PT,33.08,73.4,83,75,11.41,07/12/2019 - 05:40 PM
Geraldton,AU,-28.77,51.8,71,0,10.29,07/12/2019 - 05:40 PM
Nelson Bay,AU,-32.72,61.0,51,7,18.34,07/12/2019 - 05:39 PM
Maswa,TZ,-3.18,65.36,84,72,2.93,07/12/2019 - 05:40 PM
Kihei,US,20.76,84.2,58,40,11.41,07/12/2019 - 05:40 PM
Port Hardy,CA,50.7,64.4,77,90,4.21,07/12/2019 - 05:38 PM
Quelimane,MZ,-17.88,61.04,90,0,2.06,07/12/2019 - 05:40 PM
Te Anau,NZ,-45.41,47.36,83,80,8.93,07/12/2019 - 05:40 PM
Beloha,MG,-25.17,58.88,81,0,5.7,07/12/2019 - 05:40 PM
Vaini,TO,-21.2,73.4,83,75,11.41,07/12/2019 - 05:40 PM
Namatanai,PG,-3.66,76.7,80,100,4.23,07/12/2019 - 05:38 PM
Kalmunai,LK,7.42,76.52,90,51,3.56,07/12/2019 - 05:40 PM
San Cristobal,EC,-1.02,84.26,57,16,3.18,07/12/2019 - 05:40 PM
Lazaro Cardenas,MX,28.39,90.0,24,75,9.17,07/12/2019 - 05:40 PM
Manzhouli,CN,49.6,64.82,61,0,5.44,07/12/2019 - 05:40 PM
Ilulissat,GL,69.22,46.4,81,75,5.82,07/12/2019 - 05:40 PM
Chapais,CA,49.78,59.0,93,90,6.93,07/12/2019 - 05:40 PM
Oktyabrskoye,RU,56.73,62.01,93,0,2.24,07/12/2019 - 05:40 PM
Esperance,AU,-33.86,50.0,100,75,3.36,07/12/2019 - 05:40 PM
Ambulu,ID,-8.35,73.82,81,0,8.01,07/12/2019 - 05:40 PM
Clyde River,CA,70.47,39.2,93,20,13.87,07/12/2019 - 05:40 PM
Bajil,YE,15.06,93.62,42,57,16.24,07/12/2019 - 05:40 PM
Nome,US,30.04,95.0,59,40,12.75,07/12/2019 - 05:40 PM
Rocha,UY,-34.48,55.82,96,70,9.26,07/12/2019 - 05:40 PM
Domoni,KM,-12.26,78.14,75,1,7.87,07/12/2019 - 05:40 PM
Bredasdorp,ZA,-34.53,59.0,77,9,6.93,07/12/2019 - 05:37 PM
Saint George,BM,32.38,80.6,78,75,11.41,07/12/2019 - 05:40 PM
Sao Joao da Barra,BR,-21.64,69.8,73,0,6.93,07/12/2019 - 05:40 PM
Port Shepstone,ZA,-30.74,57.26,91,45,0.92,07/12/2019 - 05:40 PM
Barsovo,RU,61.17,64.4,100,40,4.47,07/12/2019 - 05:40 PM
Sitka,US,37.17,91.0,44,0,8.01,07/12/2019 - 05:40 PM
Kruisfontein,ZA,-34.0,53.48,93,7,10.02,07/12/2019 - 05:40 PM
Williamsport,US,41.25,86.0,51,75,10.29,07/12/2019 - 05:36 PM
Kushima,JP,31.5,71.6,88,90,3.36,07/12/2019 - 05:40 PM
Ciudad Bolivar,VE,8.12,87.32,63,81,4.81,07/12/2019 - 05:40 PM
Huilong,CN,31.15,68.96,94,12,1.79,07/12/2019 - 05:40 PM
Kankon,IN,15.02,77.0,100,90,5.82,07/12/2019 - 05:36 PM
Kodiak,US,39.95,91.4,69,1,12.75,07/12/2019 - 05:40 PM
Saldanha,ZA,-33.01,59.6,81,0,19.17,07/12/2019 - 05:40 PM
Pangnirtung,CA,66.15,42.8,93,90,16.11,07/12/2019 - 05:40 PM
Aykhal,RU,65.95,48.2,100,90,2.24,07/12/2019 - 05:40 PM
Mahebourg,MU,-20.41,69.8,64,20,5.82,07/12/2019 - 05:40 PM
Nanyang,CN,33.0,68.06,89,0,5.21,07/12/2019 - 05:40 PM
Shingu,JP,33.72,66.26,83,100,2.62,07/12/2019 - 05:40 PM
Bluff,NZ,-46.6,48.99,77,100,7.0,07/12/2019 - 05:40 PM
Ulladulla,AU,-35.36,51.01,53,0,23.04,07/12/2019 - 05:40 PM
Natchitoches,US,31.76,95.0,56,40,14.99,07/12/2019 - 05:40 PM
Bathsheba,BB,13.22,78.8,83,75,11.41,07/12/2019 - 05:40 PM
Lundazi,ZM,-12.29,57.08,58,0,8.23,07/12/2019 - 05:40 PM
Khatanga,RU,71.98,51.68,64,100,8.61,07/12/2019 - 05:40 PM
Darab,IR,28.75,76.52,29,97,5.68,07/12/2019 - 05:40 PM
Touros,BR,-5.2,75.2,94,75,4.7,07/12/2019 - 05:40 PM
Maldonado,UY,-34.91,55.4,93,90,3.36,07/12/2019 - 05:40 PM
Lagoa,PT,37.14,70.0,88,20,5.82,07/12/2019 - 05:40 PM
Dingle,IE,52.14,59.96,84,39,8.05,07/12/2019 - 05:40 PM
Tilichiki,RU,60.47,54.02,81,68,6.35,07/12/2019 - 05:37 PM
Nacala,MZ,-14.56,65.9,89,0,6.71,07/12/2019 - 05:40 PM
Alta Floresta,BR,-9.87,87.8,43,20,2.24,07/12/2019 - 05:40 PM
Broome,AU,-17.97,57.2,50,0,5.82,07/12/2019 - 05:40 PM
Riyadh,SA,24.63,89.6,8,0,8.05,07/12/2019 - 05:37 PM
Conde,BR,-11.81,69.32,96,31,3.71,07/12/2019 - 05:40 PM
Labuhan,ID,-2.54,69.14,95,37,1.83,07/12/2019 - 05:40 PM
Isangel,VU,-19.55,62.6,93,75,18.81,07/12/2019 - 05:37 PM
Tasiilaq,GL,65.61,46.4,75,0,9.17,07/12/2019 - 05:40 PM
Makakilo City,US,21.35,88.0,58,20,10.29,07/12/2019 - 05:38 PM
Tubuala,PA,9.52,88.0,74,40,5.82,07/12/2019 - 05:40 PM
Morada Nova,BR,-5.1,79.04,56,2,4.34,07/12/2019 - 05:40 PM
Lebu,CL,-37.62,53.48,88,99,22.91,07/12/2019 - 05:40 PM
Kholmy,UA,51.87,52.58,92,0,4.43,07/12/2019 - 05:40 PM
Kollam,IN,8.88,80.6,83,40,4.7,07/12/2019 - 05:40 PM
Sao Borja,BR,-28.66,66.44,76,69,5.66,07/12/2019 - 05:37 PM
Saskylakh,RU,71.97,50.06,63,33,4.99,07/12/2019 - 05:40 PM
Mokrousovo,RU,55.81,66.8,89,67,8.9,07/12/2019 - 05:40 PM
Santa Rosa,BO,-20.7,66.44,18,0,6.29,07/12/2019 - 05:40 PM
Norilsk,RU,69.35,57.2,87,40,11.18,07/12/2019 - 05:40 PM
Kalavad,IN,22.21,86.0,91,100,17.63,07/12/2019 - 05:40 PM
Castro,CL,-42.48,48.2,93,90,16.11,07/12/2019 - 05:37 PM
Matara,LK,5.95,77.06,91,4,3.13,07/12/2019 - 05:40 PM
Maracaju,BR,-21.61,72.56,49,0,3.27,07/12/2019 - 05:40 PM
Bima,ID,-8.45,63.2,96,2,2.59,07/12/2019 - 05:40 PM
Den Helder,NL,52.96,64.0,87,90,6.93,07/12/2019 - 05:40 PM
Wernigerode,DE,51.83,62.01,88,100,4.32,07/12/2019 - 05:40 PM
Aleksandrovka,RU,51.63,56.54,87,0,1.25,07/12/2019 - 05:40 PM
Shelburne,CA,44.08,75.2,53,1,8.05,07/12/2019 - 05:40 PM
Damghan,IR,36.17,71.84,38,47,1.23,07/12/2019 - 05:39 PM
Ust-Kuyga,RU,70.0,57.62,74,89,11.3,07/12/2019 - 05:40 PM
Xichang,CN,27.88,54.02,98,100,4.52,07/12/2019 - 05:40 PM
Shiyan,CN,32.65,59.42,96,20,4.88,07/12/2019 - 05:40 PM
Jumla,NP,29.28,55.28,94,100,1.81,07/12/2019 - 05:40 PM
Katobu,ID,-4.94,70.04,89,72,3.96,07/12/2019 - 05:40 PM
Yar-Sale,RU,66.83,50.6,84,12,5.39,07/12/2019 - 05:38 PM
Gorontalo,ID,0.54,73.64,84,70,6.64,07/12/2019 - 05:40 PM
Port Hedland,AU,-20.31,55.4,22,0,8.05,07/12/2019 - 05:40 PM
Trairi,BR,-3.28,76.88,67,0,6.69,07/12/2019 - 05:40 PM
Kharp,RU,66.82,43.94,79,0,3.51,07/12/2019 - 05:40 PM
Cabo San Lucas,MX,22.89,95.0,51,5,6.93,07/12/2019 - 05:37 PM
Rio Gallegos,AR,-51.62,41.0,86,40,3.36,07/12/2019 - 05:39 PM
Catuday,PH,16.29,84.8,69,0,2.66,07/12/2019 - 05:40 PM
Mwinilunga,ZM,-11.73,56.54,25,0,5.53,07/12/2019 - 05:41 PM
Ilirska Bistrica,SI,45.57,75.0,64,20,2.24,07/12/2019 - 05:41 PM
Turukhansk,RU,65.8,57.98,89,84,8.99,07/12/2019 - 05:41 PM
Iqaluit,CA,63.75,60.8,44,40,16.11,07/12/2019 - 05:41 PM
Bud,NO,62.91,55.4,87,75,10.29,07/12/2019 - 05:41 PM
Ribeira Grande,PT,38.52,72.56,84,6,11.3,07/12/2019 - 05:41 PM
Likhoslavl,RU,57.12,43.22,90,15,1.7,07/12/2019 - 05:41 PM
Abu Dhabi,AE,24.47,91.4,75,0,2.24,07/12/2019 - 05:36 PM
Muzhi,RU,65.4,48.8,72,0,3.78,07/12/2019 - 05:41 PM
Klaebu,NO,63.3,54.0,81,20,13.87,07/12/2019 - 05:41 PM
Chuy,UY,-33.69,60.5,96,92,5.88,07/12/2019 - 05:41 PM
Mandal,IN,25.44,83.9,65,22,20.15,07/12/2019 - 05:41 PM
Hobart,AU,-42.88,42.8,70,75,4.7,07/12/2019 - 05:41 PM
Basco,PH,20.45,84.44,76,0,11.95,07/12/2019 - 05:41 PM
Eyl,SO,7.98,77.24,65,35,22.32,07/12/2019 - 05:37 PM
Port Elizabeth,ZA,-33.92,62.6,72,75,11.41,07/12/2019 - 05:41 PM
Madang,PG,-5.21,68.78,92,100,1.34,07/12/2019 - 05:41 PM
Moncao,BR,-3.49,75.8,93,100,2.98,07/12/2019 - 05:41 PM
Marawi,SD,18.48,89.84,15,17,4.9,07/12/2019 - 05:41 PM
Sydney,AU,-33.85,55.4,50,75,25.28,07/12/2019 - 05:37 PM
Savalou,BJ,7.93,71.66,92,100,3.91,07/12/2019 - 05:41 PM
Berlevag,NO,70.86,44.6,87,75,4.7,07/12/2019 - 05:41 PM
Hami,CN,42.84,72.92,37,0,3.47,07/12/2019 - 05:41 PM
Ornskoldsvik,SE,63.29,57.2,76,8,1.12,07/12/2019 - 05:41 PM
Tiassale,CI,5.9,73.46,90,89,5.79,07/12/2019 - 05:41 PM
Vila Franca do Campo,PT,37.72,71.6,73,40,8.05,07/12/2019 - 05:41 PM
Sembe,CG,1.65,69.5,93,100,0.36,07/12/2019 - 05:41 PM
Puerto Leguizamo,CO,-0.19,87.68,49,75,2.35,07/12/2019 - 05:41 PM
Yasnyy,RU,64.04,43.58,85,19,3.04,07/12/2019 - 05:41 PM
Rorvik,NO,64.86,52.0,100,75,5.82,07/12/2019 - 05:41 PM
Ugoofaaru,MV,5.67,83.72,71,100,6.17,07/12/2019 - 05:41 PM
Kenai,US,60.55,62.01,77,75,12.75,07/12/2019 - 05:41 PM
Sao Joao da Ponte,BR,-15.93,69.5,39,0,2.17,07/12/2019 - 05:41 PM
Bukachacha,RU,52.99,57.8,82,0,4.81,07/12/2019 - 05:41 PM
Vostok,RU,46.45,59.78,81,65,3.69,07/12/2019 - 05:41 PM
Libourne,FR,44.91,75.2,78,90,9.17,07/12/2019 - 05:41 PM
Chama,ZM,-11.22,60.14,47,0,5.41,07/12/2019 - 05:41 PM
Amapa,BR,-1.83,84.8,66,41,3.78,07/12/2019 - 05:41 PM
Flin Flon,CA,54.77,73.4,38,40,10.29,07/12/2019 - 05:41 PM
Meulaboh,ID,4.14,83.0,72,100,8.81,07/12/2019 - 05:41 PM
Unity,CA,52.44,77.0,56,35,4.0,07/12/2019 - 05:41 PM
Enshi,CN,30.29,60.32,99,98,2.13,07/12/2019 - 05:41 PM
Bachaquero,VE,9.96,85.34,64,31,4.9,07/12/2019 - 05:41 PM
Longyan,CN,25.1,69.5,98,92,2.86,07/12/2019 - 05:41 PM
Tocopilla,CL,-22.09,58.34,87,100,18.72,07/12/2019 - 05:41 PM
Dolores,AR,-36.31,52.4,81,0,6.87,07/12/2019 - 05:41 PM
Kapuskasing,CA,49.42,77.0,47,40,18.34,07/12/2019 - 05:41 PM
Norman Wells,CA,65.28,60.8,48,40,13.87,07/12/2019 - 05:41 PM
Chuzhou,CN,32.25,68.6,95,100,0.87,07/12/2019 - 05:41 PM
Ambilobe,MG,-13.19,71.66,60,25,10.33,07/12/2019 - 05:41 PM
Madera,MX,29.2,72.92,50,100,3.36,07/12/2019 - 05:41 PM
Yumen,CN,40.29,65.9,61,100,20.2,07/12/2019 - 05:41 PM
Biggar,CA,52.06,76.7,38,0,7.31,07/12/2019 - 05:41 PM
East London,ZA,-33.02,56.0,91,76,8.52,07/12/2019 - 05:41 PM
Xai-Xai,MZ,-25.04,69.14,82,23,9.01,07/12/2019 - 05:41 PM
Plomarion,GR,38.98,75.2,44,0,3.36,07/12/2019 - 05:41 PM
Kalat,PK,29.03,70.94,52,61,8.08,07/12/2019 - 05:41 PM
Thompson,CA,55.74,77.0,31,75,9.17,07/12/2019 - 05:41 PM
Noumea,NC,-22.28,64.4,72,0,1.12,07/12/2019 - 05:41 PM
Comodoro Rivadavia,AR,-45.87,50.0,66,0,5.82,07/12/2019 - 05:41 PM
Pullman,US,46.73,90.0,39,1,4.7,07/12/2019 - 05:41 PM
Spornoye,RU,50.84,55.4,93,0,4.47,07/12/2019 - 05:41 PM
Samarai,PG,-10.62,72.56,95,100,6.33,07/12/2019 - 05:41 PM
Namibe,AO,-15.19,65.0,83,95,7.58,07/12/2019 - 05:40 PM
Necochea,AR,-38.55,51.01,90,0,4.0,07/12/2019 - 05:41 PM
Ossora,RU,59.24,53.48,81,76,2.71,07/12/2019 - 05:41 PM
New Norfolk,AU,-42.78,42.8,70,75,4.7,07/12/2019 - 05:37 PM
Boa Vista,BR,2.82,85.88,63,82,5.66,07/12/2019 - 05:40 PM
Fortuna,US,40.6,82.99,68,40,13.87,07/12/2019 - 05:41 PM
Vrangel,RU,42.73,58.7,97,65,3.98,07/12/2019 - 05:41 PM
Pevek,RU,69.7,41.78,85,52,8.66,07/12/2019 - 05:41 PM
Portland,AU,-33.35,42.01,86,100,10.0,07/12/2019 - 05:41 PM
Hokitika,NZ,-42.72,50.42,85,83,8.39,07/12/2019 - 05:41 PM
Tiarei,PF,-17.53,77.0,88,75,16.11,07/12/2019 - 05:41 PM
Srednekolymsk,RU,67.46,66.44,66,68,2.51,07/12/2019 - 05:41 PM
Venice,US,27.1,88.0,70,1,11.41,07/12/2019 - 05:37 PM
Waipawa,NZ,-39.94,53.01,81,0,13.0,07/12/2019 - 05:41 PM
Maningrida,AU,-12.05,63.74,93,52,7.27,07/12/2019 - 05:41 PM
Atar,MR,20.52,100.46,16,76,9.37,07/12/2019 - 05:41 PM
Husavik,IS,66.04,50.0,87,75,6.93,07/12/2019 - 05:41 PM
Aklavik,CA,68.22,51.8,62,40,5.82,07/12/2019 - 05:39 PM
Sabang,ID,1.17,80.84,72,93,8.68,07/12/2019 - 05:41 PM
Ayr,AU,-19.58,56.18,94,81,2.91,07/12/2019 - 05:41 PM
Jasidih,IN,24.51,82.46,78,100,6.51,07/12/2019 - 05:41 PM
Krasnyy Chikoy,RU,50.36,60.68,78,92,2.33,07/12/2019 - 05:41 PM
Isiro,CD,2.77,65.72,99,100,1.99,07/12/2019 - 05:41 PM
Nara,ML,15.17,84.62,56,60,14.65,07/12/2019 - 05:41 PM
San Borja,BO,-14.86,83.72,57,67,2.1,07/12/2019 - 05:41 PM
Oranjemund,NA,-28.55,54.92,91,0,12.08,07/12/2019 - 05:41 PM
Coihaique,CL,-45.58,41.0,93,75,2.24,07/12/2019 - 05:41 PM
Pemba,MZ,-12.97,71.6,94,20,6.93,07/12/2019 - 05:41 PM
Iquique,CL,-20.22,62.6,67,0,19.46,07/12/2019 - 05:41 PM
Lompoc,US,34.64,91.0,72,1,16.11,07/12/2019 - 05:38 PM
Dankov,RU,53.25,57.2,87,20,6.71,07/12/2019 - 05:41 PM
Mezen,RU,65.85,44.84,78,68,7.76,07/12/2019 - 05:41 PM
Kieta,PG,-6.22,80.84,75,50,7.27,07/12/2019 - 05:41 PM
Cacu,BR,-18.56,75.08,40,0,2.77,07/12/2019 - 05:41 PM
Imbituba,BR,-28.24,66.2,82,0,6.93,07/12/2019 - 05:37 PM
Moelv,NO,60.93,59.0,65,32,1.99,07/12/2019 - 05:41 PM
Kifri,IQ,34.69,87.68,18,0,9.53,07/12/2019 - 05:41 PM
Talnakh,RU,69.49,57.2,87,40,11.18,07/12/2019 - 05:40 PM
Mollendo,PE,-17.03,60.68,83,76,11.12,07/12/2019 - 05:41 PM
Mosetse,BW,-20.64,55.64,21,0,10.16,07/12/2019 - 05:41 PM
Klaksvik,FO,62.23,50.0,93,100,6.93,07/12/2019 - 05:41 PM
Grand Gaube,MU,-20.01,69.8,64,20,5.82,07/12/2019 - 05:41 PM
Road Town,VG,18.42,86.0,66,40,11.41,07/12/2019 - 05:40 PM
Hasaki,JP,35.73,68.0,100,75,2.24,07/12/2019 - 05:38 PM
Yakovlevka,RU,44.43,58.88,98,100,0.83,07/12/2019 - 05:41 PM
Sungai Padi,TH,6.09,75.2,88,75,4.7,07/12/2019 - 05:41 PM
Furukawa,JP,38.57,68.0,94,75,3.36,07/12/2019 - 05:41 PM
Derzhavinsk,KZ,51.1,75.44,40,0,9.91,07/12/2019 - 05:41 PM
Opuwo,NA,-18.06,52.76,53,0,1.95,07/12/2019 - 05:41 PM
Otacilio Costa,BR,-27.48,61.0,99,0,1.5,07/12/2019 - 05:41 PM
Hede,CN,33.77,72.0,91,100,5.14,07/12/2019 - 05:41 PM
Senanga,ZM,-16.1,55.1,28,0,5.1,07/12/2019 - 05:41 PM
Kyren,RU,51.68,46.64,98,100,4.12,07/12/2019 - 05:41 PM
Kaitangata,NZ,-46.28,48.99,63,78,4.0,07/12/2019 - 05:41 PM
Kano,NG,11.99,79.4,67,85,10.0,07/12/2019 - 05:41 PM
Kahului,US,20.89,84.2,58,40,11.41,07/12/2019 - 05:41 PM
Baghdad,IQ,33.3,89.6,24,0,2.24,07/12/2019 - 05:41 PM
Ancud,CL,-41.87,48.2,93,90,16.11,07/12/2019 - 05:37 PM
Ploemeur,FR,47.73,66.99,72,0,9.17,07/12/2019 - 05:41 PM
Soyo,AO,-6.13,72.92,84,3,8.9,07/12/2019 - 05:41 PM
Lucelia,BR,-21.72,77.0,29,0,4.41,07/12/2019 - 05:41 PM
Sorland,NO,67.67,48.2,93,75,13.87,07/12/2019 - 05:41 PM
Ningyang,CN,35.76,69.5,86,0,3.49,07/12/2019 - 05:41 PM
Malanje,AO,-9.54,61.04,62,33,4.14,07/12/2019 - 05:41 PM
Homer,US,59.64,66.2,82,90,3.36,07/12/2019 - 05:41 PM
Port Antonio,JM,18.18,87.8,52,20,27.51,07/12/2019 - 05:41 PM
Fairbanks,US,64.84,62.01,93,90,3.71,07/12/2019 - 05:41 PM
Carahue,CL,-38.71,53.6,76,90,5.82,07/12/2019 - 05:41 PM
Constitucion,MX,23.99,77.0,36,75,9.17,07/12/2019 - 05:41 PM
Bundaberg,AU,-24.87,46.4,87,33,5.82,07/12/2019 - 05:41 PM
Salinas,EC,0.49,59.0,72,75,9.17,07/12/2019 - 05:41 PM
Ust-Uda,RU,54.17,52.4,93,84,4.59,07/12/2019 - 05:41 PM
Marevo,RU,57.31,45.74,85,72,2.89,07/12/2019 - 05:41 PM
Jaciara,BR,-15.95,80.84,33,0,3.38,07/12/2019 - 05:41 PM
Tokur,RU,53.13,53.48,95,100,2.73,07/12/2019 - 05:41 PM
Byron Bay,AU,-28.65,62.01,87,100,5.82,07/12/2019 - 05:41 PM
Saint-Prosper,CA,46.21,75.99,70,58,3.0,07/12/2019 - 05:41 PM
Morgan City,US,29.7,87.01,70,75,28.86,07/12/2019 - 05:41 PM
Vardo,NO,70.37,41.0,86,20,6.93,07/12/2019 - 05:41 PM
Kichera,RU,55.93,58.34,89,100,4.43,07/12/2019 - 05:41 PM
Ucluelet,CA,48.94,75.0,88,90,2.98,07/12/2019 - 05:36 PM
Gondanglegi,ID,-7.75,66.8,94,14,7.96,07/12/2019 - 05:41 PM
Kirakira,SB,-10.46,78.5,81,83,3.06,07/12/2019 - 05:41 PM
Funadhoo,MV,6.15,83.54,75,100,8.19,07/12/2019 - 05:41 PM
Teacapan,MX,22.54,84.62,61,0,9.62,07/12/2019 - 05:41 PM
Gravdal,NO,59.79,60.01,87,90,8.05,07/12/2019 - 05:41 PM
Cayenne,GF,4.94,84.2,66,0,10.29,07/12/2019 - 05:41 PM
Muisne,EC,0.61,74.9,84,12,14.36,07/12/2019 - 05:41 PM
Batagay,RU,67.65,72.2,52,100,1.92,07/12/2019 - 05:41 PM
Tura,RU,64.27,60.32,81,97,6.67,07/12/2019 - 05:37 PM
Dubbo,AU,-32.25,48.2,76,75,10.29,07/12/2019 - 05:41 PM
