City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date - Time Reported
Nikolskoye,RU,59.7,60.01,72,0,6.71,07/13/2019 - 01:51 AM
Port-Gentil,GA,-0.72,75.2,94,75,5.82,07/13/2019 - 01:47 AM
Saskylakh,RU,71.97,61.25,48,98,6.71,07/13/2019 - 01:51 AM
Hermanus,ZA,-34.42,50.0,97,0,9.69,07/13/2019 - 01:51 AM
Aleksandrov Gay,RU,50.14,68.81,64,96,13.31,07/13/2019 - 01:51 AM
Rio Grande,BR,-32.03,60.17,97,45,5.64,07/13/2019 - 01:49 AM
Port Elizabeth,ZA,-33.92,59.0,87,75,3.36,07/13/2019 - 01:47 AM
Itoman,JP,26.12,89.6,74,75,13.87,07/13/2019 - 01:51 AM
Puerto Ayora,EC,-0.74,68.0,93,56,8.81,07/13/2019 - 01:51 AM
Beloha,MG,-25.17,65.57,60,0,8.08,07/13/2019 - 01:51 AM
Cherskiy,RU,68.75,74.75,41,12,4.29,07/13/2019 - 01:51 AM
Bluff,NZ,-46.6,50.0,90,100,1.01,07/13/2019 - 01:51 AM
Karratha,AU,-20.74,84.11,13,0,18.5,07/13/2019 - 01:51 AM
Aklavik,CA,68.22,53.6,54,40,4.7,07/13/2019 - 01:51 AM
Buraydah,SA,26.33,89.6,25,0,12.75,07/13/2019 - 01:51 AM
Mar del Plata,AR,-46.43,41.99,57,99,6.67,07/13/2019 - 01:51 AM
Vaini,TO,-21.2,69.8,94,75,9.17,07/13/2019 - 01:51 AM
Barrow,US,39.51,72.0,93,1,4.9,07/13/2019 - 01:51 AM
Kaitangata,NZ,-46.28,53.01,59,100,1.99,07/13/2019 - 01:51 AM
Ponta do Sol,CV,17.2,72.77,80,99,15.08,07/13/2019 - 01:51 AM
Key Largo,US,25.09,84.0,83,90,14.18,07/13/2019 - 01:51 AM
Tasiilaq,GL,65.61,41.0,86,14,4.7,07/13/2019 - 01:51 AM
Hollins,US,37.35,77.0,100,1,2.71,07/13/2019 - 01:51 AM
Danilov,RU,58.19,53.6,87,0,3.02,07/13/2019 - 01:51 AM
Coihaique,CL,-45.58,35.6,93,90,1.12,07/13/2019 - 01:51 AM
Butaritari,KI,3.07,83.93,80,28,15.39,07/13/2019 - 01:51 AM
Torbay,CA,47.66,51.01,93,75,13.87,07/13/2019 - 01:51 AM
Busselton,AU,-33.64,63.0,44,24,9.13,07/13/2019 - 01:51 AM
Lavrentiya,RU,65.58,69.71,42,100,5.61,07/13/2019 - 01:51 AM
Chuy,UY,-33.69,54.05,91,85,13.09,07/13/2019 - 01:48 AM
Ambilobe,MG,-13.19,78.53,44,0,9.78,07/13/2019 - 01:51 AM
Lompoc,US,34.64,63.0,87,0,13.67,07/13/2019 - 01:48 AM
Sile,TR,41.18,73.0,68,0,5.82,07/13/2019 - 01:51 AM
Lagoa,PT,37.14,69.01,94,75,6.93,07/13/2019 - 01:51 AM
Sisimiut,GL,66.94,40.55,88,100,8.72,07/13/2019 - 01:51 AM
Hilo,US,19.71,79.0,65,20,3.36,07/13/2019 - 01:51 AM
Khatanga,RU,71.98,55.85,62,94,9.1,07/13/2019 - 01:51 AM
Brigham City,US,41.51,81.0,25,1,8.05,07/13/2019 - 01:51 AM
Qaanaaq,GL,77.48,43.79,56,97,7.63,07/13/2019 - 01:51 AM
Chokurdakh,RU,70.62,58.91,48,73,10.98,07/13/2019 - 01:51 AM
Shostka,UA,51.86,59.27,70,3,5.84,07/13/2019 - 01:51 AM
Gizo,SB,-8.1,82.67,80,69,12.08,07/13/2019 - 01:46 AM
Praia da Vitoria,PT,38.73,71.6,83,20,4.54,07/13/2019 - 01:51 AM
Hobart,AU,-42.88,48.2,57,75,18.34,07/13/2019 - 01:51 AM
Cape Town,ZA,-33.93,51.01,93,0,2.24,07/13/2019 - 01:51 AM
Leh,IN,34.16,51.35,27,43,3.4,07/13/2019 - 01:47 AM
George,ZA,-33.96,48.2,87,0,5.82,07/13/2019 - 01:51 AM
Dikson,RU,73.51,32.09,95,81,11.61,07/13/2019 - 01:51 AM
Santa Isabel do Rio Negro,BR,-0.41,70.61,98,70,2.01,07/13/2019 - 01:51 AM
Mount Isa,AU,-20.73,73.4,23,35,19.46,07/13/2019 - 01:51 AM
Kimbe,PG,-5.56,74.75,94,100,2.17,07/13/2019 - 01:51 AM
Shumskiy,RU,54.83,75.29,39,100,7.09,07/13/2019 - 01:51 AM
Comodoro Rivadavia,AR,-45.87,41.0,75,0,11.63,07/13/2019 - 01:51 AM
Bambous Virieux,MU,-20.34,73.99,73,75,2.24,07/13/2019 - 01:51 AM
Lebu,CL,-37.62,53.51,86,67,15.39,07/13/2019 - 01:51 AM
Jega,NG,12.22,79.07,71,100,11.01,07/13/2019 - 01:51 AM
Caravelas,BR,-17.73,67.55,83,0,4.21,07/13/2019 - 01:51 AM
Peace River,CA,56.23,57.2,93,75,5.82,07/13/2019 - 01:51 AM
New Norfolk,AU,-42.78,48.2,57,75,18.34,07/13/2019 - 01:51 AM
Svetlogorsk,RU,53.14,78.8,39,40,2.24,07/13/2019 - 01:51 AM
Roma,AU,-26.57,61.79,45,22,18.39,07/13/2019 - 01:51 AM
Sao Felix do Xingu,BR,-6.64,68.09,81,0,1.79,07/13/2019 - 01:51 AM
Shimoda,JP,34.7,77.0,94,75,6.93,07/13/2019 - 01:51 AM
Calabozo,VE,8.92,72.41,92,79,3.4,07/13/2019 - 01:51 AM
Narsaq,GL,60.91,44.6,81,75,3.36,07/13/2019 - 01:51 AM
Saint-Philippe,RE,-21.36,75.2,47,0,4.7,07/13/2019 - 01:51 AM
Kodiak,US,39.95,73.99,53,1,6.93,07/13/2019 - 01:51 AM
Adiake,CI,5.29,75.2,94,40,4.7,07/13/2019 - 01:51 AM
Yellowknife,CA,62.45,51.8,62,20,4.7,07/13/2019 - 01:51 AM
Kattivakkam,IN,13.22,89.6,62,40,6.93,07/13/2019 - 01:51 AM
Port Alfred,ZA,-33.59,54.0,93,1,1.99,07/13/2019 - 01:51 AM
Arraial do Cabo,BR,-22.97,65.75,77,0,5.7,07/13/2019 - 01:51 AM
Ribeira Grande,PT,38.52,71.69,87,21,14.07,07/13/2019 - 01:51 AM
Upernavik,GL,72.79,44.51,86,42,14.09,07/13/2019 - 01:51 AM
Ishigaki,JP,24.34,89.6,75,20,20.8,07/13/2019 - 01:51 AM
Kahului,US,20.89,78.01,94,1,14.99,07/13/2019 - 01:49 AM
Santa Cecilia,BR,-10.02,71.6,100,0,2.24,07/13/2019 - 01:51 AM
Shahgarh,IN,24.31,90.59,57,99,16.26,07/13/2019 - 01:51 AM
Berlevag,NO,70.86,44.51,83,86,5.37,07/13/2019 - 01:51 AM
Aksu,CN,41.12,93.47,14,19,12.17,07/13/2019 - 01:51 AM
Vad,RU,55.53,63.23,78,0,4.27,07/13/2019 - 01:51 AM
Nipawin,CA,53.36,60.8,93,1,8.05,07/13/2019 - 01:51 AM
Tiksi,RU,71.64,49.19,55,42,5.77,07/13/2019 - 01:47 AM
Hualmay,PE,-11.1,61.97,86,100,14.29,07/13/2019 - 01:51 AM
Chenzhou,CN,25.81,73.31,99,100,3.31,07/13/2019 - 01:51 AM
Sangar,RU,63.92,90.59,27,17,3.44,07/13/2019 - 01:51 AM
Esmeraldas,EC,-1.87,73.4,78,75,10.29,07/13/2019 - 01:51 AM
Sioux Lookout,CA,50.1,60.8,77,40,5.82,07/13/2019 - 01:50 AM
Zheleznodorozhnyy,RU,55.75,57.2,76,40,4.47,07/13/2019 - 01:51 AM
Kirakira,SB,-10.46,83.39,72,50,4.5,07/13/2019 - 01:51 AM
Te Anau,NZ,-45.41,45.23,98,100,7.27,07/13/2019 - 01:51 AM
Kautokeino,NO,69.01,49.19,61,100,4.56,07/13/2019 - 01:51 AM
Vila Franca do Campo,PT,37.72,66.2,88,20,3.36,07/13/2019 - 01:51 AM
Ivdel,RU,60.7,57.65,98,100,6.51,07/13/2019 - 01:51 AM
Port Blair,IN,11.67,87.8,66,40,11.41,07/13/2019 - 01:51 AM
Gualaquiza,EC,-3.4,49.73,98,96,4.03,07/13/2019 - 01:51 AM
Nadvoitsy,RU,63.89,48.11,89,98,9.35,07/13/2019 - 01:51 AM
Shishou,CN,29.72,85.01,63,90,3.96,07/13/2019 - 01:51 AM
Tual,ID,-5.67,77.63,79,51,17.96,07/13/2019 - 01:51 AM
Hithadhoo,MV,-0.6,84.65,75,0,12.86,07/13/2019 - 01:51 AM
Dicabisagan,PH,17.08,90.59,56,72,4.07,07/13/2019 - 01:47 AM
Zyryanka,RU,65.73,86.09,33,63,4.03,07/13/2019 - 01:51 AM
Sistranda,NO,63.73,52.0,93,75,9.17,07/13/2019 - 01:51 AM
Glendive,US,47.11,66.2,100,1,3.36,07/13/2019 - 01:51 AM
Ostrovnoy,RU,68.05,49.55,63,51,6.76,07/13/2019 - 01:51 AM
Mangrol,IN,25.33,92.57,50,100,14.63,07/13/2019 - 01:51 AM
Nishihara,JP,35.74,82.99,74,75,6.93,07/13/2019 - 01:51 AM
Longyearbyen,SJ,78.22,41.0,86,75,14.99,07/13/2019 - 01:51 AM
Jiaxing,CN,30.76,78.01,100,75,8.95,07/13/2019 - 01:51 AM
Buchanan,LR,5.88,75.2,100,75,12.41,07/13/2019 - 01:51 AM
Tateyama,JP,36.66,81.0,69,75,4.7,07/13/2019 - 01:51 AM
Salym,RU,60.06,83.39,41,72,5.17,07/13/2019 - 01:51 AM
Norman Wells,CA,65.28,59.0,58,20,3.36,07/13/2019 - 01:51 AM
Kloulklubed,PW,7.04,78.8,83,90,20.8,07/13/2019 - 01:51 AM
Bethel,US,60.79,62.6,93,90,10.29,07/13/2019 - 01:51 AM
Salinopolis,BR,-0.61,80.69,77,34,12.68,07/13/2019 - 01:51 AM
Ketchikan,US,55.34,59.0,87,75,8.05,07/13/2019 - 01:48 AM
Villarrica,CL,-39.28,48.2,93,90,9.17,07/13/2019 - 01:51 AM
Thompson,CA,55.74,64.4,59,20,8.05,07/13/2019 - 01:51 AM
Olivehurst,US,39.1,81.0,47,1,4.18,07/13/2019 - 01:51 AM
Mingaora,PK,34.78,80.33,60,8,7.43,07/13/2019 - 01:51 AM
Miri,MY,4.41,87.8,66,75,9.17,07/13/2019 - 01:47 AM
Ixtapa,MX,20.71,80.01,100,90,3.36,07/13/2019 - 01:51 AM
Padang,ID,-0.92,82.67,72,0,6.96,07/13/2019 - 01:51 AM
Inhambane,MZ,-23.87,69.35,78,38,5.88,07/13/2019 - 01:51 AM
Kushalgarh,IN,23.2,91.13,51,97,19.33,07/13/2019 - 01:51 AM
Luanda,AO,-8.83,69.89,84,69,5.39,07/13/2019 - 01:51 AM
Esperance,AU,-33.86,57.2,67,90,3.36,07/13/2019 - 01:51 AM
College,US,64.86,66.2,93,75,2.77,07/13/2019 - 01:51 AM
Sabaudia,IT,41.3,81.0,73,0,4.7,07/13/2019 - 01:51 AM
Carnarvon,AU,-24.87,82.4,51,0,13.87,07/13/2019 - 01:51 AM
Great Bend,US,38.36,71.6,73,1,6.93,07/13/2019 - 01:51 AM
Kargasok,RU,59.06,84.47,36,83,4.76,07/13/2019 - 01:51 AM
Schenectady,US,42.81,70.0,68,20,10.29,07/13/2019 - 01:50 AM
Auki,SB,-8.77,84.11,79,9,17.07,07/13/2019 - 01:51 AM
Raton,US,36.9,71.6,45,1,6.93,07/13/2019 - 01:51 AM
Ancud,CL,-41.87,46.4,100,90,12.75,07/13/2019 - 01:51 AM
Faanui,PF,-16.48,77.99,68,0,4.07,07/13/2019 - 01:51 AM
Georgetown,SH,-7.93,74.03,72,36,15.52,07/13/2019 - 01:51 AM
Deputatskiy,RU,69.3,60.53,66,71,7.76,07/13/2019 - 01:51 AM
Mahebourg,MU,-20.41,73.99,73,75,2.24,07/13/2019 - 01:51 AM
Clyde River,CA,70.47,39.2,93,90,16.11,07/13/2019 - 01:51 AM
Viedma,AR,-40.81,43.25,60,0,7.54,07/13/2019 - 01:51 AM
Manaus,BR,-3.13,77.0,94,0,3.36,07/13/2019 - 01:49 AM
Harper,LR,4.38,75.47,85,97,13.15,07/13/2019 - 01:51 AM
Kalawit,PH,7.91,77.81,87,100,4.52,07/13/2019 - 01:51 AM
Songjianghe,CN,42.18,75.83,68,35,4.52,07/13/2019 - 01:51 AM
Iskateley,RU,67.68,53.87,69,100,10.13,07/13/2019 - 01:51 AM
De-Kastri,RU,51.48,71.15,61,93,7.14,07/13/2019 - 01:51 AM
Kabo,CF,7.69,69.71,87,100,1.21,07/13/2019 - 01:51 AM
Tiznit,MA,29.7,66.47,90,0,7.07,07/13/2019 - 01:51 AM
Axim,GH,4.87,74.21,90,59,9.82,07/13/2019 - 01:51 AM
Hasaki,JP,35.73,82.0,69,75,9.17,07/13/2019 - 01:51 AM
Benjamin Constant,BR,-4.38,73.4,100,40,1.63,07/13/2019 - 01:51 AM
Nchelenge,ZM,-9.35,59.45,43,4,9.64,07/13/2019 - 01:51 AM
Ahipara,NZ,-35.17,60.89,88,100,20.27,07/13/2019 - 01:51 AM
Vasai,IN,22.43,84.65,78,69,18.88,07/13/2019 - 01:51 AM
San Rafael del Sur,NI,11.85,77.0,94,20,9.17,07/13/2019 - 01:51 AM
Dubbo,AU,-32.25,51.8,40,40,23.04,07/13/2019 - 01:51 AM
Creel,MX,27.75,58.55,73,100,4.94,07/13/2019 - 01:51 AM
Pervomayskoye,RU,57.07,76.73,45,8,6.22,07/13/2019 - 01:51 AM
Chimbote,PE,-9.08,62.69,88,94,12.28,07/13/2019 - 01:51 AM
Eldorado,MX,24.32,86.0,70,75,6.93,07/13/2019 - 01:47 AM
Lopik,NL,51.98,63.0,87,90,5.82,07/13/2019 - 01:51 AM
Doka,SD,13.52,76.19,70,100,9.1,07/13/2019 - 01:51 AM
Batticaloa,LK,7.71,98.15,40,37,1.66,07/13/2019 - 01:51 AM
Saldanha,ZA,-33.01,58.37,84,0,14.0,07/13/2019 - 01:51 AM
Vila Velha,BR,-3.71,80.6,74,40,12.75,07/13/2019 - 01:51 AM
Kapaa,US,22.08,80.6,74,20,14.99,07/13/2019 - 01:51 AM
Hariana,IN,31.64,95.81,48,96,8.05,07/13/2019 - 01:47 AM
Nemuro,JP,43.32,64.4,93,75,8.05,07/13/2019 - 01:51 AM
Pacific Grove,US,36.62,66.0,87,75,8.05,07/13/2019 - 01:50 AM
Cayenne,GF,4.94,73.4,94,2,2.86,07/13/2019 - 01:51 AM
Great Yarmouth,GB,52.61,62.01,87,75,5.82,07/13/2019 - 01:51 AM
Bay Saint Louis,US,30.31,82.4,74,40,13.87,07/13/2019 - 01:51 AM
Hofn,IS,64.25,42.17,96,98,1.95,07/13/2019 - 01:51 AM
Progreso,MX,20.25,61.43,86,87,3.58,07/13/2019 - 01:51 AM
Port Hardy,CA,50.7,60.8,87,75,5.91,07/13/2019 - 01:51 AM
Grindavik,IS,63.84,53.6,100,90,9.17,07/13/2019 - 01:51 AM
Linfen,CN,36.09,96.17,18,51,3.89,07/13/2019 - 01:51 AM
Salalah,OM,17.01,78.8,100,90,5.82,07/13/2019 - 01:48 AM
Grinnell,US,41.74,73.99,83,1,5.82,07/13/2019 - 01:51 AM
Kwekwe,ZW,-18.93,53.33,30,0,5.28,07/13/2019 - 01:51 AM
Spirit River,CA,55.78,59.0,72,40,9.17,07/13/2019 - 01:51 AM
Palora,EC,-1.7,60.71,97,37,2.51,07/13/2019 - 01:51 AM
Stromness,GB,58.97,55.0,100,90,4.7,07/13/2019 - 01:51 AM
Salekhard,RU,66.54,66.11,38,34,3.42,07/13/2019 - 01:51 AM
Zuenoula,CI,7.43,70.43,97,100,5.14,07/13/2019 - 01:51 AM
Tocache,PE,-8.19,52.79,96,81,2.08,07/13/2019 - 01:51 AM
Lamar,US,38.09,77.0,50,1,10.29,07/13/2019 - 01:51 AM
Leningradskiy,RU,69.38,47.21,78,96,7.56,07/13/2019 - 01:51 AM
Semirom,IR,31.41,80.33,17,67,8.16,07/13/2019 - 01:51 AM
Kiunga,PG,-6.12,81.23,64,99,3.06,07/13/2019 - 01:51 AM
Talnakh,RU,69.49,53.6,87,75,15.66,07/13/2019 - 01:52 AM
Ostersund,SE,63.18,53.01,81,93,10.29,07/13/2019 - 01:52 AM
San Ramon,BO,-13.27,74.57,65,1,4.32,07/13/2019 - 01:52 AM
Tuktoyaktuk,CA,69.44,46.4,75,75,8.05,07/13/2019 - 01:52 AM
Belaya Gora,RU,68.54,75.29,50,46,20.31,07/13/2019 - 01:47 AM
Cooma,AU,-36.24,41.0,56,52,20.8,07/13/2019 - 01:52 AM
Hami,CN,42.84,89.51,19,0,8.19,07/13/2019 - 01:52 AM
Coquimbo,CL,-29.95,46.0,93,0,4.7,07/13/2019 - 01:52 AM
Pitsunda,GE,43.16,71.6,68,75,4.47,07/13/2019 - 01:52 AM
Pshekhskaya,RU,44.7,64.4,77,20,4.47,07/13/2019 - 01:52 AM
Igarka,RU,67.47,68.45,53,28,18.01,07/13/2019 - 01:52 AM
Boa Vista,BR,2.82,77.0,94,40,2.24,07/13/2019 - 01:48 AM
Isangel,VU,-19.55,80.6,65,20,6.93,07/13/2019 - 01:52 AM
San Juan,AR,-31.54,34.97,66,1,1.36,07/13/2019 - 01:52 AM
La Ronge,CA,55.1,60.8,87,5,3.36,07/13/2019 - 01:52 AM
Koboko,UG,3.41,67.55,90,96,1.9,07/13/2019 - 01:52 AM
Murray Bridge,AU,-35.12,55.99,65,40,5.01,07/13/2019 - 01:52 AM
Atherton,AU,-17.27,78.8,47,95,17.22,07/13/2019 - 01:52 AM
Tecolutla,MX,17.31,60.71,98,100,5.73,07/13/2019 - 01:52 AM
Zhezkazgan,KZ,47.8,87.8,19,0,17.9,07/13/2019 - 01:52 AM
Huarmey,PE,-10.07,62.87,86,100,14.9,07/13/2019 - 01:52 AM
Bud,NO,62.91,53.6,93,75,4.7,07/13/2019 - 01:52 AM
Pokhara,NP,28.21,63.23,84,98,4.16,07/13/2019 - 01:52 AM
Iquique,CL,-20.22,59.0,77,90,3.36,07/13/2019 - 01:47 AM
Coari,BR,-4.09,72.05,95,33,2.39,07/13/2019 - 01:52 AM
Umm Lajj,SA,25.02,85.01,70,0,6.96,07/13/2019 - 01:52 AM
Abu Dhabi,AE,24.47,93.2,66,4,4.7,07/13/2019 - 01:50 AM
Shelopugino,RU,51.65,86.27,25,47,6.08,07/13/2019 - 01:52 AM
Grand Gaube,MU,-20.01,73.99,73,75,2.24,07/13/2019 - 01:52 AM
Benguela,AO,-12.58,67.55,83,6,2.66,07/13/2019 - 01:52 AM
Bima,ID,-8.45,81.77,39,60,9.8,07/13/2019 - 01:52 AM
Ratnagiri,IN,16.98,82.31,82,84,12.97,07/13/2019 - 01:52 AM
Staunton,US,38.15,71.01,100,1,5.82,07/13/2019 - 01:50 AM
Todos Santos,MX,23.45,86.0,42,5,11.41,07/13/2019 - 01:52 AM
Tura,RU,64.27,75.11,46,87,15.03,07/13/2019 - 01:52 AM
Mackenzie,CA,55.34,60.8,72,90,4.7,07/13/2019 - 01:52 AM
Sursk,RU,53.07,67.19,66,65,3.6,07/13/2019 - 01:52 AM
Luderitz,NA,-26.65,48.2,87,0,2.24,07/13/2019 - 01:52 AM
Severo-Kurilsk,RU,50.68,44.87,95,91,7.47,07/13/2019 - 01:52 AM
Kudahuvadhoo,MV,2.67,84.11,76,0,11.12,07/13/2019 - 01:52 AM
Dubovyy Umet,RU,52.98,62.6,82,40,15.66,07/13/2019 - 01:52 AM
Sur,OM,22.57,98.15,33,0,4.65,07/13/2019 - 01:47 AM
Komsomolskiy,RU,67.55,63.59,40,22,6.22,07/13/2019 - 01:52 AM
Ornskoldsvik,SE,63.29,60.8,59,82,4.7,07/13/2019 - 01:52 AM
Kirensk,RU,57.78,74.75,39,49,7.81,07/13/2019 - 01:52 AM
Potosi,BO,-19.59,33.89,25,0,3.6,07/13/2019 - 01:52 AM
Mandurah,AU,-32.55,70.0,55,1,10.29,07/13/2019 - 01:47 AM
Surovikino,RU,48.61,71.87,53,56,6.08,07/13/2019 - 01:52 AM
Meadow Lake,CA,54.13,58.19,95,0,5.95,07/13/2019 - 01:52 AM
Takaka,NZ,-40.86,57.0,93,89,5.01,07/13/2019 - 01:52 AM
Launceston,AU,-41.43,50.0,65,40,11.41,07/13/2019 - 01:52 AM
Kyren,RU,51.68,56.57,82,99,4.23,07/13/2019 - 01:52 AM
Vanimo,PG,-2.67,82.13,72,66,8.46,07/13/2019 - 01:52 AM
Pasni,PK,25.26,94.19,45,56,10.11,07/13/2019 - 01:52 AM
Meiganga,CM,6.52,64.49,95,77,1.54,07/13/2019 - 01:52 AM
Cuamba,MZ,-14.8,63.05,70,43,4.47,07/13/2019 - 01:52 AM
Mizdah,LY,31.45,76.37,59,0,2.26,07/13/2019 - 01:52 AM
Sibolga,ID,1.74,82.49,69,0,2.37,07/13/2019 - 01:47 AM
Saint-Augustin,CA,45.63,66.2,93,20,3.36,07/13/2019 - 01:52 AM
Kaeo,NZ,-35.1,59.0,88,90,5.01,07/13/2019 - 01:52 AM
Cidreira,BR,-30.17,62.69,94,87,6.49,07/13/2019 - 01:52 AM
Saint George,BM,32.38,79.0,83,20,8.05,07/13/2019 - 01:52 AM
Bonthe,SL,7.53,75.83,90,100,7.9,07/13/2019 - 01:52 AM
Mabaruma,GY,8.2,71.33,99,1,2.53,07/13/2019 - 01:52 AM
Bahia Blanca,AR,-38.72,43.61,65,0,6.42,07/13/2019 - 01:51 AM
Kholodnyy,RU,62.72,71.69,43,48,8.19,07/13/2019 - 01:52 AM
Victoria,SC,-4.62,82.4,83,75,14.99,07/13/2019 - 01:52 AM
Sobolevo,RU,54.43,54.23,71,0,5.3,07/13/2019 - 01:52 AM
Pisco,PE,-13.71,62.6,82,90,6.93,07/13/2019 - 01:52 AM
Pangnirtung,CA,66.15,41.45,86,86,2.57,07/13/2019 - 01:52 AM
Sola,VU,-13.88,80.51,82,74,26.37,07/13/2019 - 01:52 AM
Devonport,AU,-41.18,48.99,63,82,3.0,07/13/2019 - 01:52 AM
Saint-Pierre,PM,46.77,53.33,87,100,8.03,07/13/2019 - 01:52 AM
Gigmoto,PH,13.78,85.37,66,100,8.9,07/13/2019 - 01:52 AM
Kavaratti,IN,10.57,83.21,76,49,11.5,07/13/2019 - 01:52 AM
Kaseda,JP,31.42,82.4,88,75,11.41,07/13/2019 - 01:52 AM
Tornio,FI,61.12,62.01,67,0,3.36,07/13/2019 - 01:52 AM
Dongkan,CN,34.0,83.57,62,69,3.38,07/13/2019 - 01:52 AM
Chunhuhub,MX,19.59,73.49,92,100,3.09,07/13/2019 - 01:52 AM
Angoche,MZ,-16.23,72.77,66,65,5.21,07/13/2019 - 01:52 AM
Nabannagan,PH,18.07,90.95,66,40,2.1,07/13/2019 - 01:52 AM
Ilulissat,GL,69.22,41.0,86,8,4.83,07/13/2019 - 01:52 AM
Sinnar,IN,19.85,82.85,65,100,18.23,07/13/2019 - 01:52 AM
Fare,PF,-16.7,77.81,68,0,3.06,07/13/2019 - 01:52 AM
Srikakulam,IN,18.29,95.81,45,93,3.89,07/13/2019 - 01:51 AM
Bonfim,BR,-20.33,53.6,93,0,1.99,07/13/2019 - 01:52 AM
Aksha,RU,50.28,79.61,42,63,1.57,07/13/2019 - 01:52 AM
Zavyalovo,RU,54.51,77.0,50,0,13.42,07/13/2019 - 01:52 AM
Lagdo,CM,9.06,73.13,90,39,2.75,07/13/2019 - 01:52 AM
Belen,US,34.66,82.99,27,1,10.29,07/13/2019 - 01:52 AM
Matagami,CA,49.76,62.6,72,90,6.93,07/13/2019 - 01:52 AM
Bandarbeyla,SO,9.49,88.25,38,97,32.5,07/13/2019 - 01:52 AM
Bathsheba,BB,13.22,80.6,83,40,17.22,07/13/2019 - 01:52 AM
Tabas,IR,33.6,100.4,13,9,4.7,07/13/2019 - 01:52 AM
San Patricio,MX,19.22,77.45,88,100,3.2,07/13/2019 - 01:52 AM
Springdale,CA,49.5,50.0,83,100,2.75,07/13/2019 - 01:52 AM
San Miguel Acatan,GT,15.7,57.65,94,89,4.43,07/13/2019 - 01:52 AM
Sidi Ali,DZ,36.1,72.59,86,63,13.89,07/13/2019 - 01:52 AM
Metro,ID,-5.11,84.83,64,29,6.22,07/13/2019 - 01:52 AM
Souillac,MU,-20.52,73.99,73,75,2.24,07/13/2019 - 01:52 AM
Trzcianka,PL,53.04,61.0,75,100,2.08,07/13/2019 - 01:52 AM
Jumla,NP,29.28,66.47,75,72,4.94,07/13/2019 - 01:52 AM
Rameswaram,IN,9.28,85.37,72,30,14.45,07/13/2019 - 01:52 AM
Nuevo Progreso,MX,17.14,68.99,98,100,0.92,07/13/2019 - 01:52 AM
Constitucion,MX,23.99,63.0,86,91,5.01,07/13/2019 - 01:52 AM
Pevek,RU,69.7,39.83,99,100,5.82,07/13/2019 - 01:52 AM
Batagay,RU,67.65,82.67,42,0,8.01,07/13/2019 - 01:52 AM
Cam Ranh,VN,11.92,98.6,42,20,11.41,07/13/2019 - 01:52 AM
Chapais,CA,49.78,55.4,100,75,5.82,07/13/2019 - 01:52 AM
Stephenville,US,32.22,78.8,69,40,4.7,07/13/2019 - 01:52 AM
Seoul,KR,37.57,86.0,54,75,6.93,07/13/2019 - 01:52 AM
Warren,US,42.48,70.0,68,1,3.36,07/13/2019 - 01:48 AM
